Div,season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
E2,2122,07/08/2021,15:00,Bolton,Milton Keynes Dons,3,3
E2,2122,07/08/2021,15:00,Cambridge,Oxford,1,1
E2,2122,07/08/2021,15:00,Crewe,Cheltenham,1,1
E2,2122,07/08/2021,15:00,Doncaster,AFC Wimbledon,1,2
E2,2122,07/08/2021,15:00,Fleetwood Town,Portsmouth,0,1
E2,2122,07/08/2021,15:00,Gillingham,Lincoln,1,1
E2,2122,07/08/2021,15:00,Ipswich,Morecambe,2,2
E2,2122,07/08/2021,15:00,Rotherham,Plymouth,2,0
E2,2122,07/08/2021,15:00,Shrewsbury,Burton,0,1
E2,2122,07/08/2021,15:00,Sunderland,Wigan,2,1
E2,2122,07/08/2021,15:00,Wycombe,Accrington,2,1
E2,2122,07/08/2021,17:30,Charlton,Sheffield Weds,0,0
E2,2122,14/08/2021,15:00,Accrington,Cambridge,2,1
E2,2122,14/08/2021,15:00,AFC Wimbledon,Bolton,3,3
E2,2122,14/08/2021,15:00,Burton,Ipswich,2,1
E2,2122,14/08/2021,15:00,Cheltenham,Wycombe,1,3
E2,2122,14/08/2021,15:00,Lincoln,Fleetwood Town,2,1
E2,2122,14/08/2021,15:00,Milton Keynes Dons,Sunderland,1,2
E2,2122,14/08/2021,15:00,Morecambe,Shrewsbury,2,0
E2,2122,14/08/2021,15:00,Oxford,Charlton,2,1
E2,2122,14/08/2021,15:00,Plymouth,Gillingham,1,0
E2,2122,14/08/2021,15:00,Portsmouth,Crewe,2,0
E2,2122,14/08/2021,15:00,Sheffield Weds,Doncaster,2,0
E2,2122,14/08/2021,15:00,Wigan,Rotherham,1,0
E2,2122,17/08/2021,19:45,Accrington,Doncaster,1,0
E2,2122,17/08/2021,19:45,AFC Wimbledon,Gillingham,1,1
E2,2122,17/08/2021,19:45,Burton,Sunderland,1,0
E2,2122,17/08/2021,19:45,Cheltenham,Ipswich,2,1
E2,2122,17/08/2021,19:45,Lincoln,Bolton,0,1
E2,2122,17/08/2021,19:45,Milton Keynes Dons,Charlton,2,1
E2,2122,17/08/2021,19:45,Morecambe,Rotherham,0,1
E2,2122,17/08/2021,19:45,Oxford,Crewe,1,0
E2,2122,17/08/2021,19:45,Plymouth,Cambridge,1,1
E2,2122,17/08/2021,19:45,Portsmouth,Shrewsbury,1,0
E2,2122,17/08/2021,19:45,Sheffield Weds,Fleetwood Town,1,0
E2,2122,17/08/2021,19:45,Wigan,Wycombe,1,1
E2,2122,21/08/2021,13:00,Rotherham,Sheffield Weds,0,2
E2,2122,21/08/2021,15:00,Bolton,Oxford,2,1
E2,2122,21/08/2021,15:00,Cambridge,Burton,3,0
E2,2122,21/08/2021,15:00,Charlton,Wigan,0,2
E2,2122,21/08/2021,15:00,Crewe,Accrington,0,1
E2,2122,21/08/2021,15:00,Doncaster,Portsmouth,0,0
E2,2122,21/08/2021,15:00,Fleetwood Town,Cheltenham,3,2
E2,2122,21/08/2021,15:00,Gillingham,Morecambe,2,1
E2,2122,21/08/2021,15:00,Ipswich,Milton Keynes Dons,2,2
E2,2122,21/08/2021,15:00,Shrewsbury,Plymouth,0,3
E2,2122,21/08/2021,15:00,Sunderland,AFC Wimbledon,1,0
E2,2122,21/08/2021,15:00,Wycombe,Lincoln,1,0
E2,2122,27/08/2021,19:45,Burton,Cheltenham,1,1
E2,2122,28/08/2021,13:00,Rotherham,Doncaster,2,0
E2,2122,28/08/2021,15:00,Cambridge,Bolton,1,0
E2,2122,28/08/2021,15:00,Charlton,Crewe,2,0
E2,2122,28/08/2021,15:00,Ipswich,AFC Wimbledon,2,2
E2,2122,28/08/2021,15:00,Milton Keynes Dons,Accrington,2,0
E2,2122,28/08/2021,15:00,Morecambe,Sheffield Weds,1,0
E2,2122,28/08/2021,15:00,Oxford,Lincoln,3,1
E2,2122,28/08/2021,15:00,Plymouth,Fleetwood Town,1,1
E2,2122,28/08/2021,15:00,Shrewsbury,Gillingham,2,1
E2,2122,28/08/2021,15:00,Sunderland,Wycombe,3,1
E2,2122,28/08/2021,15:00,Wigan,Portsmouth,1,0
E2,2122,04/09/2021,15:00,Accrington,Shrewsbury,1,0
E2,2122,04/09/2021,15:00,AFC Wimbledon,Oxford,3,1
E2,2122,04/09/2021,15:00,Cheltenham,Milton Keynes Dons,1,1
E2,2122,06/09/2021,20:00,Bolton,Burton,0,0
E2,2122,11/09/2021,15:00,Burton,Gillingham,1,1
E2,2122,11/09/2021,15:00,Cambridge,Lincoln,1,5
E2,2122,11/09/2021,15:00,Charlton,Cheltenham,1,2
E2,2122,11/09/2021,15:00,Ipswich,Bolton,2,5
E2,2122,11/09/2021,15:00,Milton Keynes Dons,Portsmouth,1,0
E2,2122,11/09/2021,15:00,Morecambe,AFC Wimbledon,3,4
E2,2122,11/09/2021,15:00,Oxford,Wycombe,0,0
E2,2122,11/09/2021,15:00,Plymouth,Sheffield Weds,3,0
E2,2122,11/09/2021,15:00,Rotherham,Fleetwood Town,2,4
E2,2122,11/09/2021,15:00,Shrewsbury,Crewe,1,1
E2,2122,11/09/2021,15:00,Sunderland,Accrington,2,1
E2,2122,11/09/2021,15:00,Wigan,Doncaster,2,1
E2,2122,14/09/2021,19:45,Lincoln,Rotherham,1,1
E2,2122,18/09/2021,15:00,Accrington,Wigan,1,4
E2,2122,18/09/2021,15:00,AFC Wimbledon,Plymouth,0,1
E2,2122,18/09/2021,15:00,Bolton,Rotherham,0,2
E2,2122,18/09/2021,15:00,Cheltenham,Oxford,1,0
E2,2122,18/09/2021,15:00,Crewe,Burton,2,0
E2,2122,18/09/2021,15:00,Doncaster,Morecambe,1,0
E2,2122,18/09/2021,15:00,Fleetwood Town,Sunderland,2,2
E2,2122,18/09/2021,15:00,Gillingham,Milton Keynes Dons,1,4
E2,2122,18/09/2021,15:00,Lincoln,Ipswich,0,1
E2,2122,18/09/2021,15:00,Portsmouth,Cambridge,1,2
E2,2122,18/09/2021,15:00,Sheffield Weds,Shrewsbury,1,1
E2,2122,18/09/2021,15:00,Wycombe,Charlton,2,1
E2,2122,21/09/2021,19:45,Crewe,Morecambe,1,3
E2,2122,21/09/2021,19:45,Gillingham,Charlton,1,1
E2,2122,21/09/2021,19:45,Portsmouth,Plymouth,2,2
E2,2122,25/09/2021,15:00,Burton,Lincoln,1,2
E2,2122,25/09/2021,15:00,Cambridge,Fleetwood Town,2,2
E2,2122,25/09/2021,15:00,Charlton,Portsmouth,2,2
E2,2122,25/09/2021,15:00,Ipswich,Sheffield Weds,1,1
E2,2122,25/09/2021,15:00,Milton Keynes Dons,Wycombe,1,0
E2,2122,25/09/2021,15:00,Morecambe,Accrington,3,3
