Div,season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
E2,2223,30/07/2022,15:00,Accrington,Charlton,2,2
E2,2223,30/07/2022,15:00,Bristol Rvs,Forest Green,1,2
E2,2223,30/07/2022,15:00,Cambridge,Milton Keynes Dons,1,0
E2,2223,30/07/2022,15:00,Cheltenham,Peterboro,2,3
E2,2223,30/07/2022,15:00,Derby,Oxford,1,0
E2,2223,30/07/2022,15:00,Ipswich,Bolton,1,1
E2,2223,30/07/2022,15:00,Lincoln,Exeter,1,1
E2,2223,30/07/2022,15:00,Morecambe,Shrewsbury,0,0
E2,2223,30/07/2022,15:00,Plymouth,Barnsley,1,0
E2,2223,30/07/2022,15:00,Port Vale,Fleetwood Town,2,1
E2,2223,30/07/2022,15:00,Sheffield Weds,Portsmouth,3,3
E2,2223,30/07/2022,15:00,Wycombe,Burton,3,0
E2,2223,06/08/2022,15:00,Barnsley,Cheltenham,1,0
E2,2223,06/08/2022,15:00,Bolton,Wycombe,3,0
E2,2223,06/08/2022,15:00,Burton,Bristol Rvs,0,4
E2,2223,06/08/2022,15:00,Charlton,Derby,1,0
E2,2223,06/08/2022,15:00,Exeter,Port Vale,4,0
E2,2223,06/08/2022,15:00,Fleetwood Town,Plymouth,2,1
E2,2223,06/08/2022,15:00,Forest Green,Ipswich,1,2
E2,2223,06/08/2022,15:00,Milton Keynes Dons,Sheffield Weds,0,1
E2,2223,06/08/2022,15:00,Oxford,Cambridge,1,0
E2,2223,06/08/2022,15:00,Peterboro,Morecambe,3,0
E2,2223,06/08/2022,15:00,Portsmouth,Lincoln,0,0
E2,2223,06/08/2022,15:00,Shrewsbury,Accrington,0,1
E2,2223,13/08/2022,12:30,Bristol Rvs,Oxford,1,0
E2,2223,13/08/2022,15:00,Accrington,Burton,4,4
E2,2223,13/08/2022,15:00,Cambridge,Exeter,2,1
E2,2223,13/08/2022,15:00,Cheltenham,Portsmouth,0,2
E2,2223,13/08/2022,15:00,Derby,Barnsley,2,1
E2,2223,13/08/2022,15:00,Ipswich,Milton Keynes Dons,3,0
E2,2223,13/08/2022,15:00,Lincoln,Forest Green,1,1
E2,2223,13/08/2022,15:00,Morecambe,Fleetwood Town,1,1
E2,2223,13/08/2022,15:00,Plymouth,Peterboro,2,0
E2,2223,13/08/2022,15:00,Port Vale,Bolton,0,0
