Div,season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
E2,2021,12/09/2020,15:00,Accrington,Peterboro,2,0
E2,2021,12/09/2020,15:00,Crewe,Charlton,0,2
E2,2021,12/09/2020,15:00,Doncaster,Milton Keynes Dons,1,1
E2,2021,12/09/2020,15:00,Fleetwood Town,Burton,2,1
E2,2021,12/09/2020,15:00,Gillingham,Hull,0,2
E2,2021,12/09/2020,15:00,Lincoln,Oxford,2,0
E2,2021,12/09/2020,15:00,Northampton,AFC Wimbledon,2,2
E2,2021,12/09/2020,15:00,Plymouth,Blackpool,1,0
E2,2021,12/09/2020,15:00,Portsmouth,Shrewsbury,0,0
E2,2021,12/09/2020,15:00,Sunderland,Bristol Rvs,1,1
E2,2021,12/09/2020,15:00,Swindon,Rochdale,3,1
E2,2021,13/09/2020,12:00,Ipswich,Wigan,2,0
E2,2021,19/09/2020,15:00,AFC Wimbledon,Plymouth,4,4
E2,2021,19/09/2020,15:00,Blackpool,Swindon,2,0
E2,2021,19/09/2020,15:00,Bristol Rvs,Ipswich,0,2
E2,2021,19/09/2020,15:00,Burton,Accrington,2,1
E2,2021,19/09/2020,15:00,Charlton,Doncaster,1,3
E2,2021,19/09/2020,15:00,Hull,Crewe,1,0
E2,2021,19/09/2020,15:00,Milton Keynes Dons,Lincoln,1,2
E2,2021,19/09/2020,15:00,Oxford,Sunderland,0,2
E2,2021,19/09/2020,15:00,Peterboro,Fleetwood Town,2,1
E2,2021,19/09/2020,15:00,Shrewsbury,Northampton,1,2
E2,2021,19/09/2020,15:00,Wigan,Gillingham,2,3
E2,2021,20/09/2020,15:00,Rochdale,Portsmouth,0,0
E2,2021,26/09/2020,15:00,Accrington,Oxford,1,4
E2,2021,26/09/2020,15:00,Crewe,Milton Keynes Dons,2,0
E2,2021,26/09/2020,15:00,Doncaster,Bristol Rvs,4,1
E2,2021,26/09/2020,15:00,Fleetwood Town,AFC Wimbledon,0,1
E2,2021,26/09/2020,15:00,Gillingham,Blackpool,2,0
E2,2021,26/09/2020,15:00,Ipswich,Rochdale,2,0
E2,2021,26/09/2020,15:00,Northampton,Hull,0,2
E2,2021,26/09/2020,15:00,Plymouth,Shrewsbury,1,1
E2,2021,26/09/2020,15:00,Portsmouth,Wigan,1,2
E2,2021,26/09/2020,15:00,Sunderland,Peterboro,1,0
E2,2021,26/09/2020,15:00,Swindon,Burton,4,2
E2,2021,27/09/2020,15:00,Lincoln,Charlton,2,0
E2,2021,03/10/2020,15:00,AFC Wimbledon,Accrington,1,2
E2,2021,03/10/2020,15:00,Blackpool,Lincoln,2,3
E2,2021,03/10/2020,15:00,Bristol Rvs,Northampton,2,0
E2,2021,03/10/2020,15:00,Burton,Portsmouth,2,4
E2,2021,03/10/2020,15:00,Charlton,Sunderland,0,0
E2,2021,03/10/2020,15:00,Hull,Plymouth,1,0
E2,2021,03/10/2020,15:00,Milton Keynes Dons,Ipswich,1,1
E2,2021,03/10/2020,15:00,Peterboro,Swindon,3,1
E2,2021,03/10/2020,15:00,Rochdale,Fleetwood Town,2,1
E2,2021,03/10/2020,15:00,Shrewsbury,Gillingham,1,1
E2,2021,03/10/2020,15:00,Wigan,Doncaster,1,0
E2,2021,09/10/2020,19:45,Fleetwood Town,Hull,4,1
E2,2021,10/10/2020,13:00,Gillingham,Oxford,3,1
E2,2021,10/10/2020,15:00,Accrington,Rochdale,2,1
E2,2021,10/10/2020,15:00,Blackpool,Ipswich,1,4
E2,2021,10/10/2020,15:00,Crewe,Wigan,3,0
E2,2021,10/10/2020,15:00,Lincoln,Bristol Rvs,1,2
E2,2021,10/10/2020,15:00,Northampton,Peterboro,0,2
E2,2021,10/10/2020,15:00,Plymouth,Burton,2,0
E2,2021,10/10/2020,15:00,Portsmouth,Milton Keynes Dons,2,1
E2,2021,10/10/2020,15:00,Swindon,AFC Wimbledon,0,1
E2,2021,17/10/2020,13:00,Milton Keynes Dons,Gillingham,2,0
E2,2021,17/10/2020,15:00,AFC Wimbledon,Shrewsbury,0,1
